"StandardCode","Version","StandardName","StandardSectorCode","NotionalEndLevel","EffectiveFrom","LastDateStarts","EffectiveTo","URLLink","SectorSubjectAreaTier1","SectorSubjectAreaTier2","IntegratedDegreeStandard","OtherBodyApprovalRequired","Created_On","Created_By","Modified_On","Modified_By"
"166","1","Postgraduate Engineer","68","7","01 Apr 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-post-graduate-engineer-approved-for-delivery","4.00","4.10","N","","07 Apr 2017","robinsonsar","02 Jan 2019","KTEMPERLEY"
"167","1","Engineering Technician","68","3","01 Aug 2014","","","https://www.gov.uk/government/publications/apprenticeship-standard-engineering-technician-approved-for-delivery","4.00","4.10","N","","07 Apr 2017","robinsonsar","14 Apr 2017","vijaydek"
"168","1","Healthcare Science Practitioner (degree)","46","6","01 Apr 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-science-practitioner-degree-apprenticeship","1.00","1.30","Y","","07 Apr 2017","robinsonsar","13 Dec 2018","KTEMPERLEY"
"169","1","Chef De Partie","44","3","01 Apr 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-chef-de-partie","7.00","7.40","N","","07 Apr 2017","robinsonsar","07 Jan 2019","KFISHER"
"170","1","Registered Nurse - degree (NMC 2010)","69","6","01 May 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-registered-nurse-degree-apprenticeship","1.00","1.20","N","Y","18 May 2017","robinsonsar","23 Jan 2019","KTEMPERLEY"
"171","1","Steel Fixer","55","2","01 May 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-steel-fixer","4.00","4.10","N","","18 May 2017","robinsonsar","11 Jul 2018","KTEMPERLEY"
"172","1","Fishmonger","5","2","01 May 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-fishmonger","4.00","4.20","N","","18 May 2017","robinsonsar","18 May 2017","robinsonsar"
"173","1","Building Services Engineering Craftsperson","67","3","01 May 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-craftsperson","5.00","5.20","N","","06 Jun 2017","robinsonsar","02 Jul 2018","KFISHER"
"174","1","Junior Content Producer","70","3","01 May 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-junior-content-producer","9.00","9.30","N","","06 Jun 2017","robinsonsar","06 Jun 2017","robinsonsar"
"175","1","Mineral Processing Mobile and Static Plant Operator","71","2","01 May 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-mineral-processing-mobile-and-static-plant-operator","4.00","4.20","N","","06 Jun 2017","robinsonsar","06 Jun 2017","robinsonsar"
"176","1","Accident Repair Technician","71","3","01 May 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-accident-repair-technician","4.00","4.30","N","","06 Jun 2017","robinsonsar","06 Jun 2017","robinsonsar"
"177","1","Baker","44","2","01 Jun 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-bakery","4.00","4.20","N","","12 Jun 2017","robinsonsar","12 Jun 2017","robinsonsar"
"178","1","Building Services Design Technician","67","3","01 Jun 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-building-services-design-technician","4.00","4.30","N","","12 Jun 2017","robinsonsar","02 Jul 2018","KFISHER"
"179","1","Animal Technologist","72","3","01 Jun 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-animal-technologist","3.00","3.30","N","","12 Jun 2017","robinsonsar","12 Jun 2017","robinsonsar"
"180","1","Arborist","73","2","01 Jun 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-arborist","3.00","3.20","N","","28 Jun 2017","guinivas","28 Jun 2017","guinivas"
"181","1","Horticulture and Landscape Operative","73","2","01 Jun 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-horticulture-and-landscape-operative","3.00","3.20","N","","28 Jun 2017","guinivas","28 Jun 2017","guinivas"
"182","1","Forest Operative","73","2","01 Jun 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-forest-operative","3.00","3.20","N","","28 Jun 2017","guinivas","28 Jun 2017","guinivas"
"183","1","Bespoke Saddler","70","3","01 Jun 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-bespoke-saddler","4.00","4.20","N","","28 Jun 2017","guinivas","28 Jun 2017","guinivas"
"184","1","Food Industry Technical Professional (degree)","71","6","01 Jun 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-food-industry-technical-professional-degree-apprenticeship","2.00","2.10","Y","N","28 Jun 2017","guinivas","11 Jul 2018","KTEMPERLEY"
"185","1","Building Services Engineering Ductwork Craftsperson","67","3","01 Aug 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-ductwork-craftsperson","5.00","5.20","N","","18 Aug 2017","fisherk","02 Jul 2018","KFISHER"
"186","1","Project Controls Technician","71","3","01 Aug 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-project-controls-technician","4.00","4.10","N","","18 Aug 2017","fisherk","18 Aug 2017","fisherk"
"187","1","Metrology Technician","72","3","01 Aug 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-metrology-technician","4.00","4.20","N","","18 Aug 2017","fisherk","18 Aug 2017","fisherk"
"188","1","Rail Infrastructure Operator","48","2","01 Aug 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-rail-infrastructure-operator","4.00","4.30","N","","18 Aug 2017","fisherk","18 Aug 2017","fisherk"
"189","1","Passenger Transport Driver - bus, coach and tram","48","2","01 Aug 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-passenger-transport-driver-bus-coach-and-rail","4.00","4.30","N","","18 Aug 2017","fisherk","26 Sep 2018","FISHERK"
"190","1","HR Consultant / Partner","43","5","01 Aug 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-hr-consultantpartner","15.00","15.20","N","","18 Aug 2017","fisherk","18 Aug 2017","fisherk"
"191","1","HR Support","43","3","01 Aug 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-hr-support","15.00","15.20","N","","01 Sep 2017","fisherk","01 Sep 2017","fisherk"
"192","1","Building Services Engineering Ductwork Installer","67","2","12 Sep 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-ductwork-installer","5.00","5.20","N","","13 Sep 2017","fisherk","02 Jul 2018","KFISHER"
"193","1","Building Services Engineering Service and Maintenance Engineer","67","3","12 Sep 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-service-and-maintenance-engineer","5.00","5.20","N","","13 Sep 2017","fisherk","02 Jul 2018","KFISHER"
"194","1","Building Services Engineering Ventilation Hygiene Technician","67","3","12 Sep 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-ventilation-hygiene-technician","5.00","5.20","N","","14 Sep 2017","fisherk","02 Jul 2018","KFISHER"
"195","1","Digital Engineering Technician","7","3","18 Sep 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-digital-engineering-technician","5.00","5.20","N","","20 Sep 2017","FISHERK","20 Sep 2017","FISHERK"
"196","1","Business Administrator","75","3","18 Sep 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-business-administrator","15.00","15.20","N","","20 Sep 2017","FISHERK","20 Sep 2017","FISHERK"
"197","1","Organ Builder","71","3","26 Sep 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-organ-builder","4.00","4.20","N","","29 Sep 2017","FISHERK","29 Sep 2017","FISHERK"
"198","1","Building Services Design Engineer (degree)","67","6","04 Oct 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-building-services-design-engineer","5.00","5.20","N","N","19 Oct 2017","FISHERK","11 Jul 2018","KTEMPERLEY"
"199","1","Civil Engineering Technician","55","3","04 Oct 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-civil-engineering-technician","5.00","5.20","N","","19 Oct 2017","FISHERK","19 Oct 2017","FISHERK"
"200","1","Civil Engineer (degree)","55","6","04 Oct 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-civil-engineer-degree-approved-for-delivery","5.00","5.20","N","N","19 Oct 2017","FISHERK","11 Jul 2018","KTEMPERLEY"
"201","1","Process Automation Engineer (degree)","68","7","16 Oct 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-process-automation-engineer-degree-apprenticeship","4.00","4.10","N","N","19 Oct 2017","FISHERK","11 Jul 2018","KTEMPERLEY"
"202","1","Engineering Construction Pipefitter","68","3","16 Oct 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-engineering-construction-pipefitter","4.00","4.10","N","","19 Oct 2017","FISHERK","19 Oct 2017","FISHERK"
"203","1","Teacher","16","6","19 Oct 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-teacher-approved-for-delivery","13.00","13.10","N","Y","30 Oct 2017","FISHERK","17 Jul 2018","KFISHER"
"204","1","Accountancy / Taxation Professional","52","7","07 Nov 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-professional-accountant","15.00","15.10","N","","08 Nov 2017","FISHERK","10 Oct 2018","KTEMPERLEY"
"205","1","Senior Insurance Professional","27","6","07 Nov 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-senior-insurance-professional","15.00","15.10","N","","08 Nov 2017","FISHERK","08 Nov 2017","FISHERK"
"206","1","Passenger transport onboard and station team member","48","2","14 Nov 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-passenger-transport-onboard-station-team-member","4.00","4.30","N","","15 Nov 2017","FISHERK","15 Nov 2017","FISHERK"
"207","1","Non-Destructive Testing Engineer (degree)","37","6","20 Nov 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/non-destructive-testing-engineer/","4.00","4.20","N","N","22 Nov 2017","FISHERK","11 Jul 2018","KTEMPERLEY"
"208","1","Nursing Associate","69","5","20 Nov 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/nursing-associate/","1.00","1.30","N","Y","22 Nov 2017","FISHERK","07 Feb 2019","KTEMPERLEY"
"209","1","Supply Chain Practitioner (Fast Moving Consumer Goods)","51","3","24 Nov 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/supply-chain-practitioner-fast-moving-consumer-good-previously-operatormanager/","7.00","7.20","N","","28 Nov 2017","FISHERK","13 Dec 2018","KTEMPERLEY"
"210","1","Motor Finance Specialist","9","3","04 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/motor-finance-specialist/","4.00","4.30","N","","05 Dec 2017","FISHERK","05 Dec 2017","FISHERK"
"211","1","Probate Technician","18","4","06 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/probate-technician/","15.00","15.50","N","","07 Dec 2017","FISHERK","07 Dec 2017","FISHERK"
"212","1","Electrical, Electronic Product Service and Installation Engineer","55","3","06 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/electrical-electronic-product-service-and-installation-engineer/","4.00","4.10","N","","07 Dec 2017","FISHERK","07 Dec 2017","FISHERK"
"213","1","Financial Services Professional","9","6","06 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/financial-services-professional/","15.00","15.10","N","","07 Dec 2017","FISHERK","07 Dec 2017","FISHERK"
"214","1","Passenger Transport Operations Manager","48","4","20 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/passenger-transport-operations-manager/","4.00","4.30","N","","21 Dec 2017","FISHERK","21 Dec 2017","FISHERK"
"215","1","Community Activator Coach","25","2","15 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/community-activator-coach/","8.00","8.10","N","","21 Dec 2017","FISHERK","21 Dec 2017","FISHERK"
"216","1","Electrical Power Networks Engineer","71","4","20 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/electrical-power-networks-engineer-previously-power-networks-engineer/","4.00","4.10","N","","21 Dec 2017","FISHERK","21 Dec 2017","FISHERK"
"217","1","Recruitment Consultant","75","3","20 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/recruitment-consultant/","15.00","15.20","N","","21 Dec 2017","FISHERK","21 Dec 2017","FISHERK"
"218","1","Recruitment Resourcer","75","2","20 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/recruitment-resourcer/","15.00","15.20","N","","21 Dec 2017","FISHERK","21 Dec 2017","FISHERK"
"219","1","Lifting Technician","55","2","01 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/lifting-technician/","5.00","5.20","N","","21 Dec 2017","FISHERK","21 Dec 2017","FISHERK"
"220","1","High Speed Rail and Infrastructure Technician","30","4","27 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/high-speed-rail-infrastructure-technician/","4.00","4.30","N","","02 Jan 2018","FISHERK","02 Jan 2018","FISHERK"
"221","1","Laboratory Scientist (degree)","4","6","03 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/laboratory-scientist-new/","4.00","4.20","N","","05 Jan 2018","FISHERK","11 Jul 2018","KTEMPERLEY"
"222","1","Commercial Procurement and Supply","29","4","22 Dec 2017","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/commercial-procurement-and-supply-formerly-public-sector-commercial-professional/","15.00","15.10","N","","05 Jan 2018","FISHERK","05 Jan 2018","FISHERK"
"223","1","Hospitality Manager","44","4","10 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/hospitality-manager/","7.00","7.40","N","","11 Jan 2018","FISHERK","11 Jan 2018","FISHERK"
"224","1","Leisure and Entertainment Engineering Technician","71","3","16 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/leisure-entertainment-engineering-technician/","4.00","4.10","N","","19 Jan 2018","KFISHER","11 Jul 2018","KTEMPERLEY"
"225","1","Plumbing and Domestic Heating Technician","55","3","19 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/plumbing-and-domestic-heating-technician/","5.00","5.20","N","","19 Jan 2018","KFISHER","19 Jan 2018","KFISHER"
"226","1","Marine Engineer","68","3","19 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/marine-engineer/","4.00","4.10","N","","19 Jan 2018","KFISHER","19 Jan 2018","KFISHER"
"227","1","Nuclear Operative","15","2","22 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/nuclear-operative/","4.00","4.10","N","","23 Jan 2018","KFISHER","23 Jan 2018","KFISHER"
"228","1","Leisure Duty Manager","75","3","26 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/leisure-duty-manager/","15.00","15.30","N","","30 Jan 2018","KFISHER","30 Jan 2018","KFISHER"
"229","1","Creative Venue Technician","70","3","26 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/creative-venue-technician/","9.00","9.20","N","","30 Jan 2018","KFISHER","30 Jan 2018","KFISHER"
"230","1","Tunnelling Operative","55","2","26 Jan 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/tunnelling-operative/","5.00","5.20","N","","30 Jan 2018","KFISHER","30 Jan 2018","KFISHER"
"231","1","Policy Officer","75","4","02 Feb 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/policy-officer/","15.00","15.20","N","","07 Feb 2018","KFISHER","21 Feb 2018","SGUINIVAN"
"232","1","School Business Professional","75","4","05 Feb 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/school-business-professional/","15.00","15.20","N","","07 Feb 2018","KFISHER","07 Feb 2018","KFISHER"
"233","1","Industrial Thermal Insulation Technician","55","3","09 Feb 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/industrial-thermal-insulation-technician/","5.00","5.20","N","","12 Feb 2018","KFISHER","14 Feb 2018","KFISHER"
"234","1","Commercial Thermal Insulation Operative","55","2","21 Feb 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/commercial-thermal-insulation-operative/","5.00","5.20","N","","22 Feb 2018","KFISHER","22 Feb 2018","KFISHER"
"235","1","Watchmaker","70","3","19 Feb 2018","","","https://www.instituteforapprenticeships.org/apprenticeship-standards/watchmaker/","9.00","9.20","N","","22 Feb 2018","KFISHER","22 Feb 2018","KFISHER"
